premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual,ollama_category,ollama_confidence,ollama_reason,ollama_raw
LAS MERAS TORTAS,5661 FARM POND LN,Charlotte,NC,,LAS MERAS TORTAS,,other,,fast_food_mexican,0.8,Mexican food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Mexican food establishment""}"
LAWRENCE CARIBBEAN,3011 WEST BV,Charlotte,NC,,LAWRENCE CARIBBEAN,,other,,fast_food_mexican,0.8,"Typical Caribbean cuisine is often associated with Mexican or Latin American food, and Lawrence Caribbean has a name suggesting it serves Caribbean dishes.","{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Typical Caribbean cuisine is often associated with Mexican or Latin American food, and Lawrence Caribbean has a name suggesting it serves Caribbean dishes.""}"
LEES HOAGIE HOUSE,15025 LANCASTER HY,Charlotte,NC,,LEES HOAGIE HOUSE,,other,,fast_food_sandwich,0.8,"Typical characteristics of a hoagie house, such as sandwich-focused menu and casual atmosphere.","{""category"":""fast_food_sandwich"",""confidence"":0.8,""reason"":""Typical characteristics of a hoagie house, such as sandwich-focused menu and casual atmosphere.""}"
LEGION BREWING,5610 CARNEGIE BV,Charlotte,NC,,LEGION BREWING,,other,,coffee_shop,1.0,Brewing and coffee-related establishment,"{""category"":""coffee_shop"",""confidence"":1.0,""reason"":""Brewing and coffee-related establishment""}"
LEGION BREWING MOREHEAD,2013 W MOREHEAD ST,Charlotte,NC,,LEGION BREWING MOREHEAD,,other,,bar,1.0,brewery and bar,"{""category"":""bar"",""confidence"":1.0,""reason"":""brewery and bar""}"
LENNY BOY BREWING CO,3000 S TRYON ST,Charlotte,NC,,LENNY BOY BREWING,,other,,bar,1.0,Lenny Boy Brewing Co is a brewery and bar,"{""category"":""bar"",""confidence"":1.0,""reason"":""Lenny Boy Brewing Co is a brewery and bar""}"
LEOS ITALIAN SOCIAL,4720 PIEDMONT ROW DR,Charlotte,NC,,LEOS ITALIAN SOCIAL,,other,,other,1.0,Italian restaurant,"{""category"":""italian"", ""confidence"":1.0, ""reason"":""Italian restaurant""}"
LEROY FOX,705 S SHARON AMITY RD,Charlotte,NC,,LEROY FOX,,other,,other,0.0,No clear indication of food establishment,"{""category"":""other"",""confidence"":0.0,""reason"":""No clear indication of food establishment""}"
LEROY FOX II,1616 CAMDEN RD,Charlotte,NC,,LEROY FOX II,,other,,other,0.0,No information about food establishment found,"{""category"":""other"",""confidence"":0.0,""reason"":""No information about food establishment found""}"
LETS MEAT,1400 S CHURCH ST,Charlotte,NC,,LETS MEAT,,other,,food_truck,1.0,Meat focused food truck,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""Meat focused food truck""}"
LIMANI,6902 PHILLIPS PLACE CT,Charlotte,NC,,LIMANI,,other,,fast_food_burger,0.8,Typical fast food restaurant chain with burger options,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food restaurant chain with burger options""}"
LINK & PIN,9723 SAM FURR RD,Charlotte,NC,,LINK & PIN,,other,,other,0.5,"No clear indication of food type, may be a bar or pub","{""category"":""other"",""confidence"":0.5,""reason"":""No clear indication of food type, may be a bar or pub""}"
LINK & PIN #4102,8128 PROVIDENCE RD,Charlotte,NC,,LINK & PIN,,other,,other,0.5,"No clear indication of food type, possibly a bar or pub","{""category"":""other"",""confidence"":0.5,""reason"":""No clear indication of food type, possibly a bar or pub""}"
LOCAL LOAF EATERY,800 E 35TH ST,Charlotte,NC,,LOCAL LOAF EATERY,,other,,bakery_cafe,0.9,Establishment serves baked goods and has a cafe aspect,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment serves baked goods and has a cafe aspect""}"
LOCAL THE,105 E 5TH ST,Charlotte,NC,,LOCAL,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
LOCKER ROOM #306-310,800 S MINT ST,Charlotte,NC,,LOCKER ROOM -,,other,,institutional,1.0,"Locker room in a building, likely a school or sports venue","{""category"":""institutional"",""confidence"":1.0,""reason"":""Locker room in a building, likely a school or sports venue""}"
"LODGE, THE",7725 COLONY RD,Charlotte,NC,,LODGE,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
LONDON D'S,832 E 4TH ST,Charlotte,NC,,LONDON D S,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
LOONG ASIAN CUISINE,9815 SAM FURR RD,Charlotte,NC,,LOONG ASIAN CUISINE,,other,,asian_chinese,1.0,Chinese restaurant,"{""category"":""asian_chinese"",""confidence"":1.0,""reason"":""Chinese restaurant""}"
LOS CHAMOS CHARLOTTE,7001 SOUTH BV,Charlotte,NC,,LOS CHAMOS CHARLOTTE,,other,,mexican,0.9,establishment name and location suggest Mexican cuisine,"{""category"":""mexican"",""confidence"":0.9,""reason"":""establishment name and location suggest Mexican cuisine""}"
LOS REYES II,7308 E INDEPENDENCE BV,Charlotte,NC,,LOS REYES II,,other,,fast_food_mexican,0.9,Mexican food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.9,""reason"":""Mexican food establishment""}"
LOTUS CUISINE II,4100 CARMEL RD,Charlotte,NC,,LOTUS CUISINE II,,other,,asian_chinese,1.0,Chinese restaurant,"{""category"":""asian_chinese"",""confidence"":1.0,""reason"":""Chinese restaurant""}"
LOVES TRAVEL STOPS & COUNTRY STORES #714,2603 SAM WILSON RD,Charlotte,NC,,LOVES TRAVEL STOPS & COUNTRY STORES,,other,,grocery_deli,0.8,"Establishment appears to be a store selling groceries and deli items, likely a convenience or grocery store.","{""category"":""grocery_deli"",""confidence"":0.8,""reason"":""Establishment appears to be a store selling groceries and deli items, likely a convenience or grocery store.""}"
LUCKY STRIKE,1700 MONTFORD DR,Charlotte,NC,,LUCKY STRIKE,,other,,fast_food_burger,1.0,Typical fast food burger establishment,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger establishment""}"
LUCKY STRIKE MATTHEWS,11210 BRIGMAN RD,Charlotte,NC,,LUCKY STRIKE MATTHEWS,,other,,fast_food_burger,0.9,Typical fast food restaurant chain with burger options,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food restaurant chain with burger options""}"
LULABELLES,9335 CENTER LAKE DR,Charlotte,NC,,LULABELLES,,other,,fast_food_mexican,0.8,Mexican food chain,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Mexican food chain""}"
LULU'S EXPRESS,2400 TUCKASEEGEE RD,Charlotte,NC,,LULU S EXPRESS,,other,,fast_food_burger,1.0,LULU's Express is a fast-food burger establishment.,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""LULU's Express is a fast-food burger establishment.""}"
MABI COCINA TROPICAL,416 E 36TH ST,Charlotte,NC,,MABI COCINA TROPICAL,,other,,mexican,1.0,MABI COCINA TROPICAL,"{""category"":""mexican"",""confidence"":1.0,""reason"":""MABI COCINA TROPICAL""}"
MAC'S SPEED SHOP-MATTHEWS,142 E JOHN ST,Charlotte,NC,,MAC S SPEED SHOP-MATTHEWS,,other,,food_truck,0.9,"Speed shop is a colloquial term for a food truck or cart, often serving quick and casual meals.","{""category"":""food_truck"",""confidence"":0.9,""reason"":""Speed shop is a colloquial term for a food truck or cart, often serving quick and casual meals.""}"
MACCHU PICCHU,123 MAIN ST,Charlotte,NC,,MACCHU PICCHU,,other,,other,0.0,not a typical food establishment,"{""category"":""other"",""confidence"":0.0,""reason"":""not a typical food establishment""}"
MAC`S SPEED SHOP,19601 LIVERPOOL PY,Charlotte,NC,,MAC S SPEED SHOP,,other,,food_truck,1.0,MAC S SPEED SHOP is a food truck establishment,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""MAC S SPEED SHOP is a food truck establishment""}"
MAC`S SPEED SHOP,2414 SANDY PORTER RD,Charlotte,NC,,MAC S SPEED SHOP,,other,,food_truck,1.0,MAC S SPEED SHOP is a food truck establishment,"{""category"":""food_truck"",""confidence"":1.0,""reason"":""MAC S SPEED SHOP is a food truck establishment""}"
MAC`S SPEED SHOP,2511 SOUTH BV,Charlotte,NC,,MAC S SPEED SHOP,,other,,food_truck,0.9,"Speed shop is a colloquial term for a food truck that serves quick, casual meals","{""category"":""food_truck"",""confidence"":0.9,""reason"":""Speed shop is a colloquial term for a food truck that serves quick, casual meals""}"
MAGGIANOS LITTLE ITALY,4400 SHARON RD,Charlotte,NC,,MAGGIANOS LITTLE ITALY,,other,,other,1.0,Italian restaurant,"{""category"":""italian"", ""confidence"":1.0, ""reason"":""Italian restaurant""}"
MAHANA FRESH BALLANTYNE,14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,MAHANA FRESH BALLANTYNE,,other,,grocery_deli,0.8,Establishment type and location suggest a grocery store or deli,"{""category"":""grocery_deli"",""confidence"":0.8,""reason"":""Establishment type and location suggest a grocery store or deli""}"
MAIZ AGUA SAL TORTILLERIA,1018 JAY ST,Charlotte,NC,,MAIZ AGUA SAL TORTILLERIA,,other,,mexican,1.0,"Name contains 'MAIZ', 'AGUA', and 'SAL' which are common ingredients in Mexican cuisine","{""category"":""mexican"",""confidence"":1.0,""reason"":""Name contains 'MAIZ', 'AGUA', and 'SAL' which are common ingredients in Mexican cuisine""}"
MAL PAN SOUTHPARK,4625 PIEDMONT ROW DR,Charlotte,NC,,MAL PAN SOUTHPARK,,other,,fast_food_burger,0.8,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Typical fast food burger joint""}"
MAMA MIA TOO,101 N MAXWELL AV,Charlotte,NC,,MAMA MIA TOO,,other,,fast_food_pizza,0.8,Italian restaurant with pizza options,"{""category"":""fast_food_pizza"",""confidence"":0.8,""reason"":""Italian restaurant with pizza options""}"
MAMA RICOTTAS/GK,601 S KINGS DR,Charlotte,NC,,MAMA RICOTTAS/GK,,other,,other,0.8,Italian restaurant,"{""category"":""italian"", ""confidence"":0.8, ""reason"":""Italian restaurant""}"
MAMAKA BOWLS,200 W TREMONT AV,Charlotte,NC,,MAMAKA BOWLS,,other,,asian_chinese,0.8,Bowls is a common dish in Chinese cuisine,"{""category"":""asian_chinese"",""confidence"":0.8,""reason"":""Bowls is a common dish in Chinese cuisine""}"
MANHATTAN BAGEL,8040 PROVIDENCE RD,Charlotte,NC,,MANHATTAN BAGEL,,other,,bakery_cafe,1.0,bagel shop,"{""category"":""bakery_cafe"",""confidence"":1.0,""reason"":""bagel shop""}"
MANO BELLA ITALIAN ARTISAN FOOD,721 GOVERNOR MORRISON ST,Charlotte,NC,,MANO BELLA ITALIAN ARTISAN FOOD,,other,,other,0.9,Italian cuisine and 'artisan food' suggest Italian category,"{""category"":""italian"", ""confidence"":0.9, ""reason"":""Italian cuisine and 'artisan food' suggest Italian category""}"
MARGARITAS MOUNTAIN ISLAND,3818 CORNING PL,Charlotte,NC,,MARGARITAS MOUNTAIN ISLAND,,other,,bar,1.0,establishment serves alcoholic beverages,"{""category"":""bar"",""confidence"":1.0,""reason"":""establishment serves alcoholic beverages""}"
MARIPOSA,500 S TRYON ST,Charlotte,NC,,MARIPOSA,,other,,other,0.5,"No clear indication of food type, but 'MARIPOSA' is a restaurant name","{""category"":""other"",""confidence"":0.5,""reason"":""No clear indication of food type, but 'MARIPOSA' is a restaurant name""}"
MARISCOS NAYARIT,6023 ALBEMARLE RD,Charlotte,NC,,MARISCOS NAYARIT,,other,,mexican,1.0,establishment name and location suggest Mexican cuisine,"{""category"":""mexican"",""confidence"":1.0,""reason"":""establishment name and location suggest Mexican cuisine""}"
"MARQUEE LOUNGE, THE",3131 TUCKASEEGEE RD,Charlotte,NC,,MARQUEE LOUNGE,,other,,bar,0.8,Establishment name suggests lounge and bar atmosphere,"{""category"":""bar"",""confidence"":0.8,""reason"":""Establishment name suggests lounge and bar atmosphere""}"
MASALA MASTEE,107 N MAIN ST,Charlotte,NC,,MASALA MASTEE,,other,,other,0.0,unknown cuisine,"{""category"":""other"",""confidence"":0.0,""reason"":""unknown cuisine""}"
MATADOR,1215 SOUTH BV,Charlotte,NC,,MATADOR,,other,,fast_food_mexican,1.0,,"{""category"":""fast_food_mexican"",""confidence"":1.0}"
MCDONALD'S,2820 BOYER ST,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,McDonald's is a well-known fast-food chain specializing in burgers and other quick meals.,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""McDonald's is a well-known fast-food chain specializing in burgers and other quick meals.""}"
MCDONALD'S #13052,413 TYVOLA RD,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,McDonald's is a fast-food chain known for burgers and other quick-service food.,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""McDonald's is a fast-food chain known for burgers and other quick-service food.""}"
MCDONALD'S #14547,20500 TORRENCE CHAPEL RD,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,"Establishment name and address indicate a McDonald's restaurant, which is known for its burgers.","{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name and address indicate a McDonald's restaurant, which is known for its burgers.""}"
MCDONALD'S #31295,9710 REA RD,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,Establishment name and address indicate a McDonald's location,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name and address indicate a McDonald's location""}"
MCDONALD'S #6685,1201 W SUGAR CREEK RD,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,Establishment name and address suggest a fast-food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name and address suggest a fast-food burger chain""}"
MCDONALD'S TRYON #6788,4440 S TRYON ST,Charlotte,NC,,MCDONALD S TRYON,,other,,fast_food_burger,1.0,McDonald's is a fast-food chain that primarily serves burgers and other burger-based items.,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""McDonald's is a fast-food chain that primarily serves burgers and other burger-based items.""}"
MCDONALD`S #31213,14110 RIVERGATE PY,Charlotte,NC,,MCDONALD S,,other,,fast_food_burger,1.0,Establishment name and address indicate a McDonald's restaurant,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Establishment name and address indicate a McDonald's restaurant""}"
MCGUIRE OFFICE COMPLEX,13225 MCGUIRE NUCLEAR STATION RD,Charlotte,NC,,MCGUIRE OFFICE COMPLEX,,other,,institutional,1.0,Office complex,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Office complex""}"
MCKOY`S SMOKEHOUSE AND SALOON,4630 OLD PINEVILLE RD,Charlotte,NC,,MCKOY S SMOKEHOUSE AND SALOON,,other,,bbq,1.0,smokehouse and saloon indicates BBQ style food,"{""category"":""bbq"",""confidence"":1.0,""reason"":""smokehouse and saloon indicates BBQ style food""}"
MECK COUNTY JAIL NORTH FOODSVC,5235 SPECTOR DR,Charlotte,NC,,MECK COUNTY JAIL NORTH FOODSVC,,other,,institutional,1.0,Hotel / school / hospital / venue / cafeteria,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel / school / hospital / venue / cafeteria""}"
MEGA BALEADA,7631 SHARON LAKES RD,Charlotte,NC,,MEGA BALEADA,,other,,fast_food_mexican,0.8,Typical Mexican fast food establishment,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""Typical Mexican fast food establishment""}"
MELLOW MUSHROOM #139,14835 BALLANTYNE VILLAGE WY,Charlotte,NC,,MELLOW MUSHROOM,,other,,coffee_shop,0.8,Mellow Mushroom is a coffee shop and restaurant chain known for its pizza and eclectic atmosphere.,"{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""Mellow Mushroom is a coffee shop and restaurant chain known for its pizza and eclectic atmosphere.""}"
MELLOW MUSHROOM #169,255 W MARTIN LUTHER KING JR BV,Charlotte,NC,,MELLOW MUSHROOM,,other,,coffee_shop,0.8,Mellow Mushroom is a coffee shop and cafe chain known for its unique atmosphere and menu items.,"{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""Mellow Mushroom is a coffee shop and cafe chain known for its unique atmosphere and menu items.""}"
MELTING POT,901 S KINGS DR,Charlotte,NC,,MELTING POT,,other,,mexican,0.8,"name contains 'MELTING POT', a common term for a fondue restaurant, which is often Mexican-inspired","{""category"":""mexican"",""confidence"":0.8,""reason"":""name contains 'MELTING POT', a common term for a fondue restaurant, which is often Mexican-inspired""}"
"MELTING POT, THE",16625 STATESVILLE RD,Charlotte,NC,,MELTING POT,,other,,mexican,0.9,"The name 'MELTING POT' suggests a melting pot of cuisines, which is often associated with Mexican food.","{""category"":""mexican"",""confidence"":0.9,""reason"":""The name 'MELTING POT' suggests a melting pot of cuisines, which is often associated with Mexican food.""}"
MENS CLUB OF CHARLOTTE,444 TYVOLA RD,Charlotte,NC,,MENS CLUB OF CHARLOTTE,,other,,institutional,1.0,venue,"{""category"":""institutional"",""confidence"":1.0,""reason"":""venue""}"
MENYA DARUMA,1941 E 7TH ST,Charlotte,NC,,MENYA DARUMA,,other,,mexican,0.9,"Establishment name suggests Japanese-Mexican fusion, common in Daruma restaurants","{""category"":""mexican"",""confidence"":0.9,""reason"":""Establishment name suggests Japanese-Mexican fusion, common in Daruma restaurants""}"
MERCHANT AND TRADE,303 S CHURCH ST,Charlotte,NC,,MERCHANT AND TRADE,,other,,other,1.0,hotel / school / hospital / venue / cafeteria,"{""category"":""institution"",""confidence"":1.0,""reason"":""hotel / school / hospital / venue / cafeteria""}"
MERCY HOSPITAL,2001 VAIL AV,Charlotte,NC,,MERCY HOSPITAL,,other,,institutional,1.0,Hospital,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hospital""}"
MERE'S,2400 PARK RD,Charlotte,NC,,MERE S,,other,,fast_food_burger,1.0,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger joint""}"
MERTS HEART & SOUL,214 N COLLEGE ST,Charlotte,NC,,MERTS HEART & SOUL,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
MEZZANOTTE,2907 PROVIDENCE RD,Charlotte,NC,,MEZZANOTTE,,other,,pizza,1.0,Mezzanotte is a pizzeria based on its name and no other information is available.,"{""category"":""pizza"",""confidence"":1.0,""reason"":""Mezzanotte is a pizzeria based on its name and no other information is available.""}"
MI PUEBLO #11,1820 SARDIS RD N,Charlotte,NC,,MI PUEBLO,,other,,mexican,1.0,normalized name contains 'MI PUEBLO' which is a common name for Mexican restaurants,"{""category"":""mexican"",""confidence"":1.0,""reason"":""normalized name contains 'MI PUEBLO' which is a common name for Mexican restaurants""}"
MI TIERRA,3209 EASTWAY DR,Charlotte,NC,,MI TIERRA,,other,,mexican,1.0,normalized name contains 'TIERRA' which is a common suffix for Mexican restaurants,"{""category"":""mexican"",""confidence"":1.0,""reason"":""normalized name contains 'TIERRA' which is a common suffix for Mexican restaurants""}"
MICH TOCUMBO,6300 SOUTH BV,Charlotte,NC,,MICH TOCUMBO,,other,,mexican,1.0,MICH TOCUMBO,"{""category"":""mexican"",""confidence"":1.0,""reason"":""MICH TOCUMBO""}"
MICH TOCUMBO,6301 N TRYON ST,Charlotte,NC,,MICH TOCUMBO,,other,,mexican,0.9,Establishment serves Mexican food,"{""category"":""mexican"",""confidence"":0.9,""reason"":""Establishment serves Mexican food""}"
MICO AT GRAND BOHEMIAN,201 W TRADE ST,Charlotte,NC,,MICO AT GRAND BOHEMIAN,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
MICROSOFT PSS,8055 MICROSOFT WY,Charlotte,NC,,MICROSOFT PSS,,other,,institutional,1.0,Office/Corporate building,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Office/Corporate building""}"
MIDDAY AT THE TOWER,1718 E 4TH ST,Charlotte,NC,,MIDDAY AT THE TOWER,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
MIDDLE C JAZZ,300 SOUTH BREVARD AVE,Charlotte,NC,,MIDDLE C JAZZ,,other,,bar,1.0,Music venue and bar,"{""category"":""bar"",""confidence"":1.0,""reason"":""Music venue and bar""}"
MIDDLE JAMES BREWING COMPANY,400 N POLK ST,Charlotte,NC,,MIDDLE JAMES BREWING COMPANY,,other,,coffee_shop,0.8,brewing company suggests coffee focus,"{""category"":""coffee_shop"",""confidence"":0.8,""reason"":""brewing company suggests coffee focus""}"
MIDWOOD SMOKEHOUSE BIRKDALE/GK,16710 BIRKDALE COMMONS PY,Charlotte,NC,,MIDWOOD SMOKEHOUSE BIRKDALE/GK,,other,,bbq,1.0,smokehouse,"{""category"":""bbq"",""confidence"":1.0,""reason"":""smokehouse""}"
MIDWOOD SMOKEHOUSE CLT AIRPORT,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,MIDWOOD SMOKEHOUSE CLT AIRPORT,,other,,bbq,0.9,smokehouse and clt airport suggests a barbecue establishment,"{""category"":""bbq"",""confidence"":0.9,""reason"":""smokehouse and clt airport suggests a barbecue establishment""}"
MIDWOOD SMOKEHOUSE OF BALLANTYNE/GK,12410 JOHNSTON RD,Charlotte,NC,,MIDWOOD SMOKEHOUSE OF BALLANTYNE/GK,,other,,bbq,0.9,smokehouse,"{""category"":""bbq"",""confidence"":0.9,""reason"":""smokehouse""}"
MIDWOOD SMOKEHOUSE/GK,1401 CENTRAL AV,Charlotte,NC,,MIDWOOD SMOKEHOUSE/GK,,other,,bbq,0.9,smokehouse/gk indicates barbecue,"{""category"":""bbq"",""confidence"":0.9,""reason"":""smokehouse/gk indicates barbecue""}"
MIDWOOD SMOKEHOUSE/GK,540 BRANDYWINE RD,Charlotte,NC,,MIDWOOD SMOKEHOUSE/GK,,other,,bbq,1.0,smokehouse/gk indicates barbecue,"{""category"":""bbq"",""confidence"":1.0,""reason"":""smokehouse/gk indicates barbecue""}"
MILKBREAD DAVIDSON,624 JETTON ST,Charlotte,NC,,MILKBREAD DAVIDSON,,other,,bakery_cafe,0.9,Establishment serves baked goods and has a cafe aspect,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment serves baked goods and has a cafe aspect""}"
MILKBREAD MIDWOOD,1431 CENTRAL AV,Charlotte,NC,,MILKBREAD MIDWOOD,,other,,bakery_cafe,0.8,Establishment serves baked goods and has a cafe aspect,"{""category"":""bakery_cafe"",""confidence"":0.8,""reason"":""Establishment serves baked goods and has a cafe aspect""}"
MILY AND LALO,3210 N SHARON AMITY RD,Charlotte,NC,,MILY AND LALO,,other,,other,1.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food establishment type""}"
MIZU,3100 APEX DR,Charlotte,NC,,MIZU,,other,,fast_food_chicken,1.0,Chicken focused restaurant,"{""category"":""fast_food_chicken"",""confidence"":1.0,""reason"":""Chicken focused restaurant""}"
MONDAY NIGHT BREWING,2217 S TRYON ST,Charlotte,NC,,MONDAY NIGHT BREWING,,other,,bar,1.0,establishment serves beer and has a bar area,"{""category"":""bar"",""confidence"":1.0,""reason"":""establishment serves beer and has a bar area""}"
MOO & BREW,1300 CENTRAL AV,Charlotte,NC,,MOO & BREW,,other,,fast_food_burger,1.0,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical fast food burger joint""}"
MOO & BREW MATTHEWS,250 N TRADE ST,Charlotte,NC,,MOO & BREW MATTHEWS,,other,,fast_food_burger,1.0,Typical burger joint name and location,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""Typical burger joint name and location""}"
MOREHEAD INN,1122 E MOREHEAD ST,Charlotte,NC,,MOREHEAD INN,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
MOUNTAIN ISLAND BP,2211 VINNIE'S WY,Charlotte,NC,,MOUNTAIN ISLAND BP,,other,,food_truck,0.8,"Establishment type not specified, but location and name suggest a food truck or mobile vendor","{""category"":""food_truck"",""confidence"":0.8,""reason"":""Establishment type not specified, but location and name suggest a food truck or mobile vendor""}"
MR GS,5027 MORRIS FIELD DR,Charlotte,NC,,MR GS,,other,,other,1.0,No clear indication of food type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food type""}"
MR TOKYO MATTHEWS,10412 E INDEPENDENCE BV,Charlotte,NC,,MR TOKYO MATTHEWS,,other,,asian_japanese,0.8,Japanese restaurant name and location,"{""category"":""asian_japanese"",""confidence"":0.8,""reason"":""Japanese restaurant name and location""}"
MSC INDUSTRIAL SUPPLY,525 HARBOUR PLACE DR,Charlotte,NC,,MSC INDUSTRIAL SUPPLY,,other,,institutional,1.0,industrial supply store,"{""category"":""institutional"",""confidence"":1.0,""reason"":""industrial supply store""}"
MUGS,5126 PARK RD,Charlotte,NC,,MUGS,,other,,coffee_shop,1.0,MUGS is a coffee shop,"{""category"":""coffee_shop"",""confidence"":1.0,""reason"":""MUGS is a coffee shop""}"
MURAYA,200 E BLAND ST,Charlotte,NC,,MURAYA,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
MYERS PARK UNITED METHODIST CHURCH,1501 QUEENS RD,Charlotte,NC,,MYERS PARK UNITED METHODIST CHURCH,,other,,other,0.8,church,"{""category"":""institution"",""confidence"":0.8,""reason"":""church""}"
NANA MORRISON'S SOUL FOOD,2908 OAK LAKE BV,Charlotte,NC,,NANA MORRISON S SOUL FOOD,,other,,other,0.5,"Soul food is a broad category, and without more specific information, it's difficult to assign a more precise classification.","{""category"":""other"",""confidence"":0.5,""reason"":""Soul food is a broad category, and without more specific information, it's difficult to assign a more precise classification.""}"
NANA MORRISONS SOUL FOOD #2,3824 CORNING PL,Charlotte,NC,,NANA MORRISONS SOUL FOOD,,other,,fast_food_mexican,0.8,soul food is a type of cuisine commonly associated with Mexican-American culture,"{""category"":""fast_food_mexican"",""confidence"":0.8,""reason"":""soul food is a type of cuisine commonly associated with Mexican-American culture""}"
NAPA ON PROVIDENCE,110 PERRIN PL,Charlotte,NC,,NAPA ON PROVIDENCE,,other,,institutional,1.0,establishment is a hotel or school or hospital or venue,"{""category"":""institutional"",""confidence"":1.0,""reason"":""establishment is a hotel or school or hospital or venue""}"
NAUTICAL BOWLS ARBORETUM,8040 PROVIDENCE RD,Charlotte,NC,,NAUTICAL BOWLS ARBORETUM,,other,,other,1.0,No clear indication of food establishment type,"{""category"":""other"",""confidence"":1.0,""reason"":""No clear indication of food establishment type""}"
NEW ASIAN CUISINE,7114 BRIGHTON PARK DR,Charlotte,NC,,NEW ASIAN CUISINE,,other,,asian_chinese,0.9,Asian cuisine,"{""category"":""asian_chinese"",""confidence"":0.9,""reason"":""Asian cuisine""}"
NEW CHINA TASTE,8112 IDLEWILD RD,Charlotte,NC,,NEW CHINA TASTE,,other,,asian_chinese,1.0,Chinese restaurant,"{""category"":""asian_chinese"",""confidence"":1.0,""reason"":""Chinese restaurant""}"
NEW YORK BUTCHER SHOPPE,20823 N MAIN ST,Charlotte,NC,,NEW YORK BUTCHER SHOPPE,,other,,grocery_deli,1.0,butcher shop,"{""category"":""grocery_deli"",""confidence"":1.0,""reason"":""butcher shop""}"
NEW YORK BUTCHER SHOPPE,2452 PARK RD,Charlotte,NC,,NEW YORK BUTCHER SHOPPE,,other,,other,0.8,butcher shop,"{""category"":""other"",""confidence"":0.8,""reason"":""butcher shop""}"
NGUYENS NOODLES,3615 WHITEHALL PARK DR,Charlotte,NC,,NGUYENS NOODLES,,other,,asian_other,0.8,Vietnamese noodle shop,"{""category"":""asian_other"",""confidence"":0.8,""reason"":""Vietnamese noodle shop""}"
